"Name","Id","CPU","Handles"
"Code","17684","00:00:12.1250000","1005"
"SearchIndexer","11316",,"1105"
"WinStore.App","15040","00:00:03.7968750","1136"
"aswidsagent","9716",,"1262"
"svchost","100",,"1288"
"dwm","1380",,"1322"
"SearchUI","11448","00:01:05.3281250","1451"
"svchost","1124",,"1490"
"lsass","976",,"1614"
"AVGUI","13204","00:05:18.1875000","2194"
"IntelTechnologyAccessService","4896",,"2199"
"explorer","7992","00:07:34.0937500","3296"
"chrome","8764","00:10:32.7656250","3837"
"powershell","776","00:00:17.5468750","5111"
"AVGSvc","3780",,"5579"
"System","4",,"6071"
